Platform	Genre	Name	Year_Released	Developer
Wii	Sports	Wii Sports	2006	Nintendo
NES	Platform	Super Mario Bros.	1985	?
Wii	Racing	Mario Kart Wii	2008	Nintendo
Wii	Sports	Wii Sports Resort	2009	Nintendo
GB	Role-Playing	Pokemon Red/Pokemon Blue	1996	?
GB	Puzzle	Tetris	1989	?
DS	Platform	New Super Mario Bros.	2006	Nintendo
Wii	Misc	Wii Play	2006	Nintendo
Wii	Platform	New Super Mario Bros. Wii	2009	Nintendo
NES	Shooter	Duck Hunt	1984	?
DS	Simulation	Nintendogs	2005	?
DS	Racing	Mario Kart DS	2005	Nintendo
GB	Role-Playing	Pokemon Gold/Pokemon Silver	1999	?
Wii	Sports	Wii Fit	2007	Nintendo
X360	Misc	Kinect Adventures!	2010	Good Science Studio
Wii	Sports	Wii Fit Plus	2009	Nintendo
PS3	Action	Grand Theft Auto V	2013	Rockstar North
PS2	Action	Grand Theft Auto: San Andreas	2004	Rockstar North
SNES	Platform	Super Mario World	1990	?
DS	Misc	Brain Age: Train Your Brain in Minutes a Day	2005	Nintendo
DS	Role-Playing	Pokemon Diamond/Pokemon Pearl	2006	?
GB	Platform	Super Mario Land	1989	?
NES	Platform	Super Mario Bros. 3	1988	?
X360	Action	Grand Theft Auto V	2013	Rockstar North
PS2	Action	Grand Theft Auto: Vice City	2002	Rockstar North
GBA	Role-Playing	Pokemon Ruby/Pokemon Sapphire	2002	?
DS	Puzzle	Brain Age 2: More Training in Minutes a Day	2005	Nintendo
DS	Role-Playing	Pokemon Black/Pokemon White	2010	?
PS2	Racing	Gran Turismo 3: A-Spec	2001	Polyphony Digital
X360	Shooter	Call of Duty: Modern Warfare 3	2011	"Infinity Ward, Sledgehammer Games"
GB	Role-Playing	Pokémon Yellow: Special Pikachu Edition	1998	?
PS4	Shooter	Call of Duty: Black Ops 3	2015	?
X360	Shooter	Call of Duty: Black Ops	2010	Treyarch
3DS	Role-Playing	Pokemon X/Pokemon Y	2013	?
PS3	Shooter	Call of Duty: Black Ops II	2012	Treyarch
X360	Shooter	Call of Duty: Black Ops II	2012	Treyarch
X360	Shooter	Call of Duty: Modern Warfare 2	2009	Infinity Ward
PS3	Shooter	Call of Duty: Modern Warfare 3	2011	"Infinity Ward, Sledgehammer Games"
PS2	Action	Grand Theft Auto III	2001	DMA Design
Wii	Fighting	Super Smash Bros. Brawl	2008	Game Arts
3DS	Racing	Mario Kart 7	2011	"Retro Studios, Entertainment Analysis & Development Division"
PS3	Shooter	Call of Duty: Black Ops	2010	Treyarch
PS4	Action	Grand Theft Auto V	2014	Rockstar North
DS	Simulation	Animal Crossing: Wild World	2005	Nintendo
X360	Shooter	Halo 3	2007	"Bungie Software, Bungie"
N64	Platform	Super Mario 64	1996	?
DS	Action	Pokemon HeartGold/Pokemon SoulSilver	2009	?
3DS	Role-Playing	Pokemon Omega Ruby/Pokemon Alpha Sapphire	2014	?
PS2	Racing	Gran Turismo 4	2004	Polyphony Digital
Wii	Platform	Super Mario Galaxy	2007	Nintendo
GB	Adventure	Super Mario Land 2: 6 Golden Coins	1992	?
X360	Action	Grand Theft Auto IV	2008	Rockstar North
PS	Racing	Gran Turismo	1997	Polyphony Digital
3DS	Platform	Super Mario 3D Land	2011	Nintendo
PS3	Racing	Gran Turismo 5	2010	Polyphony Digital
PS3	Shooter	Call of Duty: Modern Warfare 2	2009	Infinity Ward
SNES	Platform	Super Mario All-Stars	1993	?
PS3	Action	Grand Theft Auto IV	2008	Rockstar North
GBA	Role-Playing	Pokemon FireRed/Pokemon LeafGreen	2004	?
DS	Platform	Super Mario 64	2004	?
X360	Shooter	Call of Duty: Ghosts	2013	Infinity Ward
Wii	Misc	Just Dance 3	2011	Ubisoft
3DS	Platform	New Super Mario Bros. 2	2012	Nintendo
N64	Racing	Mario Kart 64	1996	?
X360	Shooter	Halo: Reach	2010	Bungie
PS	Role-Playing	Final Fantasy VII	1997	SquareSoft
X360	Shooter	Halo 4	2012	343 Industries
PS	Racing	Gran Turismo 2	1999	Polyphony Digital
Wii	Misc	Just Dance 2	2010	Ubisoft
PS3	Shooter	Call of Duty: Ghosts	2013	Infinity Ward
X360	Shooter	Call of Duty 4: Modern Warfare	2007	Infinity Ward
SNES	Platform	Donkey Kong Country	1994	?
X360	Misc	Minecraft	2013	?
3DS	Simulation	Animal Crossing: New Leaf	2012	Nintendo
DS	Misc	Mario Party DS	2007	Hudson Soft
X360	Role-Playing	The Elder Scrolls V: Skyrim	2011	Bethesda Game Studios
SNES	Racing	Super Mario Kart	1992	?
PS4	Sports	FIFA 16	2015	EA Sports
XB	Shooter	Halo 2	2004	Bungie Software
Wii	Misc	Wii Party	2010	Nd Cube
Wii	Misc	Mario Party 8	2007	Hudson
PS3	Action	FIFA Soccer 13	2012	Electronic Arts
